bill_date,ALCALINAS,BOMBILLOS,ENCENDEDORES,MANGANESO,OTROS,TERCEROS,month,year,year_month,date
2018-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,4.0,0.0,1,2018,2018-01-01,2018-01-02
2018-01-05 05:00:00+00:00,0.0,0.0,0.0,0.0,8.0,0.0,1,2018,2018-01-01,2018-01-05
2018-01-09 05:00:00+00:00,298.0,140.0,372.0,3310.0,135.0,0.0,1,2018,2018-01-01,2018-01-09
2018-01-10 05:00:00+00:00,1136.0,192.0,1598.0,8451.0,146.0,0.0,1,2018,2018-01-01,2018-01-10
2018-01-11 05:00:00+00:00,1455.0,358.0,2588.0,12991.0,318.0,0.0,1,2018,2018-01-01,2018-01-11
2018-01-12 05:00:00+00:00,934.0,404.0,728.0,4664.0,321.0,0.0,1,2018,2018-01-01,2018-01-12
2018-01-13 05:00:00+00:00,657.0,319.0,450.0,3754.0,464.0,0.0,1,2018,2018-01-01,2018-01-13
2018-01-14 05:00:00+00:00,10.0,6.0,0.0,60.0,0.0,0.0,1,2018,2018-01-01,2018-01-14
2018-01-15 05:00:00+00:00,1188.0,193.0,817.0,4317.0,379.0,0.0,1,2018,2018-01-01,2018-01-15
2018-01-16 05:00:00+00:00,1172.0,732.0,783.0,7503.0,283.0,0.0,1,2018,2018-01-01,2018-01-16
2018-01-17 05:00:00+00:00,1634.0,504.0,1419.0,11705.0,426.0,0.0,1,2018,2018-01-01,2018-01-17
2018-01-18 05:00:00+00:00,1348.0,456.0,1635.0,12110.0,252.0,0.0,1,2018,2018-01-01,2018-01-18
2018-01-19 05:00:00+00:00,2366.0,218.0,1137.0,9660.0,378.0,0.0,1,2018,2018-01-01,2018-01-19
2018-01-20 05:00:00+00:00,310.0,114.0,0.0,1940.0,48.0,0.0,1,2018,2018-01-01,2018-01-20
2018-01-22 05:00:00+00:00,717.0,245.0,1031.0,4253.0,576.0,0.0,1,2018,2018-01-01,2018-01-22
2018-01-23 05:00:00+00:00,2397.0,277.0,1421.0,26378.0,545.0,0.0,1,2018,2018-01-01,2018-01-23
2018-01-24 05:00:00+00:00,1695.0,660.0,1774.0,9247.0,313.0,0.0,1,2018,2018-01-01,2018-01-24
2018-01-25 05:00:00+00:00,2083.0,627.0,2685.0,25436.0,797.0,0.0,1,2018,2018-01-01,2018-01-25
2018-01-26 05:00:00+00:00,821.0,81.0,1976.0,12509.0,111.0,0.0,1,2018,2018-01-01,2018-01-26
2018-01-27 05:00:00+00:00,40.0,0.0,0.0,60.0,102.0,0.0,1,2018,2018-01-01,2018-01-27
2018-01-29 05:00:00+00:00,1367.0,163.0,490.0,7704.0,47.0,0.0,1,2018,2018-01-01,2018-01-29
