ALCALINAS_BOGOTÁ,ALCALINAS_CENTRO,ALCALINAS_NORTE,ALCALINAS_SANTANDER,ALCALINAS_SUR,BOMBILLOS_BOGOTÁ,BOMBILLOS_CENTRO,BOMBILLOS_NORTE,BOMBILLOS_SANTANDER,BOMBILLOS_SUR,ENCENDEDORES_BOGOTÁ,ENCENDEDORES_CENTRO,ENCENDEDORES_NORTE,ENCENDEDORES_SANTANDER,ENCENDEDORES_SUR,MANGANESO_BOGOTÁ,MANGANESO_CENTRO,MANGANESO_NORTE,MANGANESO_SANTANDER,MANGANESO_SUR,OTROS_BOGOTÁ,OTROS_CENTRO,OTROS_NORTE,OTROS_SANTANDER,OTROS_SUR,TERCEROS_BOGOTÁ,TERCEROS_CENTRO,TERCEROS_NORTE,TERCEROS_SANTANDER,TERCEROS_SUR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,120.0,60.0,50.0,68.0,0.0,0.0,80.0,0.0,60.0,0.0,0.0,80.0,40.0,252.0,0.0,0.0,3000.0,30.0,280.0,0.0,12.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,850.0,0.0,200.0,46.0,0.0,130.0,0.0,12.0,50.0,12.0,235.0,0.0,724.0,627.0,50.0,6325.0,960.0,272.0,844.0,2.0,42.0,0.0,12.0,89.0,0.0,0.0,0.0,0.0,0.0
0.0,1121.0,30.0,70.0,212.0,0.0,256.0,24.0,24.0,54.0,0.0,1424.0,524.0,20.0,620.0,0.0,6340.0,4500.0,944.0,1146.0,40.0,231.0,1.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0
0.0,769.0,110.0,10.0,45.0,0.0,391.0,0.0,13.0,0.0,2.0,426.0,100.0,0.0,200.0,240.0,3526.0,768.0,10.0,120.0,0.0,236.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,240.0,120.0,70.0,225.0,99.0,175.0,0.0,0.0,45.0,114.0,118.0,52.0,86.0,80.0,60.0,1350.0,720.0,310.0,1314.0,20.0,169.0,37.0,110.0,128.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1008.0,60.0,30.0,90.0,8.0,89.0,50.0,0.0,46.0,0.0,441.0,0.0,0.0,376.0,600.0,3517.0,0.0,0.0,200.0,20.0,25.0,51.0,250.0,33.0,0.0,0.0,0.0,0.0,0.0
0.0,1072.0,50.0,50.0,0.0,0.0,584.0,78.0,42.0,27.0,0.0,623.0,60.0,44.0,56.0,0.0,5475.0,1590.0,350.0,88.0,40.0,125.0,19.0,72.0,23.0,0.0,0.0,0.0,0.0,0.0
1.0,933.0,420.0,0.0,280.0,18.0,452.0,18.0,9.0,6.0,70.0,728.0,203.0,0.0,418.0,0.0,9705.0,1540.0,0.0,460.0,0.0,240.0,51.0,12.0,116.0,0.0,0.0,0.0,0.0,0.0
0.0,1128.0,60.0,130.0,30.0,0.0,370.0,42.0,44.0,0.0,0.0,1271.0,20.0,269.0,75.0,0.0,10874.0,640.0,516.0,80.0,0.0,107.0,6.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1900.0,90.0,310.0,45.0,30.0,138.0,0.0,50.0,0.0,0.0,176.0,80.0,840.0,40.0,0.0,4662.0,2738.0,1220.0,1040.0,0.0,10.0,318.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
80.0,502.0,0.0,110.0,25.0,60.0,145.0,20.0,20.0,0.0,416.0,535.0,0.0,20.0,60.0,0.0,3530.0,0.0,153.0,570.0,32.0,388.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2047.0,0.0,50.0,290.0,24.0,142.0,0.0,6.0,105.0,82.0,867.0,0.0,0.0,472.0,32.0,20252.0,240.0,30.0,5824.0,8.0,426.0,0.0,27.0,84.0,0.0,0.0,0.0,0.0,0.0
